url_list,movie_names
/movie/bi/mi/basic.nhn?code=154449,리틀 포레스트
/movie/bi/mi/basic.nhn?code=132998,계춘할망
/movie/bi/mi/basic.nhn?code=28876,화양연화
/movie/bi/mi/basic.nhn?code=36763,데이비드 게일
/movie/bi/mi/basic.nhn?code=179139,출국
/movie/bi/mi/basic.nhn?code=34598,란도리
/movie/bi/mi/basic.nhn?code=98432,"가장 따뜻한 색, 블루"
/movie/bi/mi/basic.nhn?code=37245,말죽거리 잔혹사
/movie/bi/mi/basic.nhn?code=36950,도그빌
/movie/bi/mi/basic.nhn?code=148909,더 페이버릿: 여왕의 여자
/movie/bi/mi/basic.nhn?code=51407,애자
/movie/bi/mi/basic.nhn?code=39043,비포 선셋
/movie/bi/mi/basic.nhn?code=115296,대니 콜린스
/movie/bi/mi/basic.nhn?code=31607,고양이를 부탁해
/movie/bi/mi/basic.nhn?code=147896,"나의 사랑, 그리스"
/movie/bi/mi/basic.nhn?code=38338,네버랜드를 찾아서
/movie/bi/mi/basic.nhn?code=31904,취화선
/movie/bi/mi/basic.nhn?code=126078,본 투 비 블루
/movie/bi/mi/basic.nhn?code=109626,러덜리스
/movie/bi/mi/basic.nhn?code=59032,박사가 사랑한 수식
/movie/bi/mi/basic.nhn?code=132610,바닷마을 다이어리
/movie/bi/mi/basic.nhn?code=32126,아모레스 페로스
/movie/bi/mi/basic.nhn?code=159848,더 포스트
/movie/bi/mi/basic.nhn?code=39750,빨간 구두
/movie/bi/mi/basic.nhn?code=172768,어드리프트:우리가 함께한 바다
/movie/bi/mi/basic.nhn?code=137956,맨체스터 바이 더 씨
/movie/bi/mi/basic.nhn?code=185450,우리집
/movie/bi/mi/basic.nhn?code=42867,히노키오
/movie/bi/mi/basic.nhn?code=170874,사랑은 비가 갠 뒤처럼
/movie/bi/mi/basic.nhn?code=162932,채비
/movie/bi/mi/basic.nhn?code=64170,언노운 우먼
/movie/bi/mi/basic.nhn?code=31814,"버스, 정류장"
/movie/bi/mi/basic.nhn?code=11089,현기증
/movie/bi/mi/basic.nhn?code=118348,보이후드
/movie/bi/mi/basic.nhn?code=61056,스텝 업
/movie/bi/mi/basic.nhn?code=127396,캡틴 판타스틱
/movie/bi/mi/basic.nhn?code=77566,브레이킹 던 part2
/movie/bi/mi/basic.nhn?code=44910,김씨 표류기
/movie/bi/mi/basic.nhn?code=72362,언싱커블
/movie/bi/mi/basic.nhn?code=71546,엘 시크레토: 비밀의 눈동자
/movie/bi/mi/basic.nhn?code=88474,천국의 아이들
/movie/bi/mi/basic.nhn?code=17498,토탈 이클립스
/movie/bi/mi/basic.nhn?code=112042,봄
/movie/bi/mi/basic.nhn?code=54411,우리들의 행복한 시간
/movie/bi/mi/basic.nhn?code=61482,고야의 유령
/movie/bi/mi/basic.nhn?code=134887,스노든
/movie/bi/mi/basic.nhn?code=17173,가을의 전설
/movie/bi/mi/basic.nhn?code=146508,죽여주는 여자
/movie/bi/mi/basic.nhn?code=48742,허브
