url_list,movie_names,kr_movie_names,director_list,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
/movie/bi/mi/basic.nhn?code=14448,패왕별희,패왕별희 디 오리지널,천카이거,"장국영, 공리, 장풍의",9.31,2826,171
/movie/bi/mi/basic.nhn?code=65021,라따뚜이,라따뚜이,브래드 버드,"패튼 오스왈트, 루 로마노",9.3,7446,115
/movie/bi/mi/basic.nhn?code=48602,엽문,엽문,엽위신,"견자단, 임달화, 슝다이린",9.23,5301,106
/movie/bi/mi/basic.nhn?code=62586,다크 나이트,다크 나이트,크리스토퍼 놀란,"크리스찬 베일, 히스 레저, 아론 에크하트",9.33,26854,152
/movie/bi/mi/basic.nhn?code=41375,신데렐라 맨,신데렐라 맨,론 하워드,"러셀 크로우, 르네 젤위거",9.25,3466,144
/movie/bi/mi/basic.nhn?code=15899,공동경비구역 JSA,공동경비구역 JSA,박찬욱,"이영애, 이병헌, 송강호",9.28,2633,110
/movie/bi/mi/basic.nhn?code=27578,토이 스토리 2,토이 스토리 2,존 라세터,"톰 행크스, 팀 알렌, 조안 쿠삭",9.26,940,92
/movie/bi/mi/basic.nhn?code=12482,여인의 향기,여인의 향기,마틴 브레스트,알 파치노,9.36,2865,157
/movie/bi/mi/basic.nhn?code=17903,아름다운 비행,아름다운 비행,캐롤 발라드,"제프 다니엘스, 안나 파킨",9.23,624,107
/movie/bi/mi/basic.nhn?code=59075,본 얼티메이텀,본 얼티메이텀,폴 그린그래스,"맷 데이먼, 줄리아 스타일스, 데이빗 스트라탄",9.25,8689,115
/movie/bi/mi/basic.nhn?code=68502,갓파 쿠와 여름방학을,갓파 쿠와 여름방학을,하라 케이이치,"김연우, 전진아, 사문영",9.24,2697,138
/movie/bi/mi/basic.nhn?code=31268,에이 아이,에이 아이,스티븐 스필버그,"할리 조엘 오스먼트, 주드 로, 프란시스 오코너",9.31,4443,144
/movie/bi/mi/basic.nhn?code=63403,타인의 삶,타인의 삶,플로리안 헨켈 폰 도너스마르크,"울리히 뮤흐, 마르티나 게덱, 세바스티안 코치",9.23,3283,137
/movie/bi/mi/basic.nhn?code=18781,이웃집 토토로,이웃집 토토로,미야자키 하야오,"히다카 노리코, 사카모토 치카, 타카기 히토시",9.26,3044,87
/movie/bi/mi/basic.nhn?code=29571,천국의 아이들,천국의 아이들,마지드 마지디,"레자 나지, 아미르 파로크 하스미얀, 바하레 세디키",9.29,1154,87
/movie/bi/mi/basic.nhn?code=31110,아름다운 세상을 위하여,아름다운 세상을 위하여,미미 레더,"케빈 스페이시, 헬렌 헌트, 헤일리 조엘 오스먼트",9.13,1093,122
/movie/bi/mi/basic.nhn?code=10072,대부 2,대부 2,프란시스 포드 코폴라,"알 파치노, 로버트 듀발, 다이안 키튼",9.2,1371,200
/movie/bi/mi/basic.nhn?code=17254,뱀파이어와의 인터뷰,뱀파이어와의 인터뷰,닐 조던,"톰 크루즈, 브래드 피트, 안토니오 반데라스",9.13,2028,123
/movie/bi/mi/basic.nhn?code=10244,늑대와 춤을,늑대와 춤을,케빈 코스트너,케빈 코스트너,9.27,750,183
/movie/bi/mi/basic.nhn?code=32116,니모를 찾아서,니모를 찾아서 3D,앤드류 스탠튼,"앨버트 브룩스, 엘런 드제너러스, 알렉산더 굴드",9.23,1624,100
/movie/bi/mi/basic.nhn?code=36798,인크레더블,인크레더블,브래드 버드,"크레이그 T. 넬슨, 홀리 헌터",9.25,3580,121
/movie/bi/mi/basic.nhn?code=47152,테이큰,테이큰,피에르 모렐,"리암 니슨, 매기 그레이스",9.21,11554,93
/movie/bi/mi/basic.nhn?code=44529,해바라기,해바라기,강석범,"김래원, 김해숙, 허이재",9.22,15901,116
/movie/bi/mi/basic.nhn?code=63156,체인질링,체인질링,클린트 이스트우드,"안젤리나 졸리, 존 말코비치",9.17,3400,141
/movie/bi/mi/basic.nhn?code=37486,스쿨 오브 락,스쿨 오브 락,리처드 링클레이터,잭 블랙,9.21,5637,109
/movie/bi/mi/basic.nhn?code=64151,프리덤 라이터스,프리라이터스다이어리,리처드 라그라브네스,"힐러리 스웽크, 패트릭 뎀시",-,-,170
/movie/bi/mi/basic.nhn?code=45774,하이 스쿨 뮤지컬: 졸업반,하이 스쿨 뮤지컬: 졸업반,케니 오테가,"잭 에프론, 바네사 허진스, 애슐리 티스데일",9.25,2186,111
/movie/bi/mi/basic.nhn?code=10561,대부 3,대부 3,프란시스 포드 코폴라,"알 파치노, 다이안 키튼, 탈리아 샤이어",9.22,957,171
/movie/bi/mi/basic.nhn?code=10004,백 투 더 퓨쳐 3,빽 투 더 퓨쳐 3,로버트 저메키스,"마이클 J. 폭스, 크리스토퍼 로이드, 메리 스틴버겐",9.12,715,117
/movie/bi/mi/basic.nhn?code=56770,세상에서 가장 빠른 인디언,세상에서 가장 빠른 인디언,로저 도널드슨,"안소니 홉킨스, 다이안 래드",-,-,127
/movie/bi/mi/basic.nhn?code=27109,소년은 울지 않는다,소년은 울지 않는다,킴벌리 피어스,"힐러리 스웽크, 클로에 세비니, 피터 사스가드",8.95,505,116
/movie/bi/mi/basic.nhn?code=18610,콘택트,콘택트,로버트 저메키스,"조디 포스터, 매튜 맥커너히",9.22,3533,145
/movie/bi/mi/basic.nhn?code=29276,페어런트 트랩,페어런트 트랩,낸시 마이어스,"린제이 로한, 데니스 퀘이드, 나타샤 리처드슨",-,-,127
/movie/bi/mi/basic.nhn?code=10061,프레데터,프레데터,존 맥티어난,아놀드 슈왈제네거,9.2,871,105
/movie/bi/mi/basic.nhn?code=12270,나 홀로 집에 2 - 뉴욕을 헤메다,나 홀로 집에 2 - 뉴욕을 헤매다,크리스 콜럼버스,"맥컬리 컬킨, 조 페시, 다니엘 스턴",9.34,1643,115
/movie/bi/mi/basic.nhn?code=31148,맨 오브 오너,맨 오브 오너,조지 틸만 주니어,"로버트 드 니로, 쿠바 구딩 쥬니어, 샤를리즈 테론",9.21,642,128
/movie/bi/mi/basic.nhn?code=12297,우리들의 일그러진 영웅,우리들의 일그러진 영웅,박종원,"홍경인, 고정일, 최민식",9.3,985,119
/movie/bi/mi/basic.nhn?code=10012,다이 하드,다이 하드,존 맥티어난,브루스 윌리스,9.29,890,131
/movie/bi/mi/basic.nhn?code=34227,아이 엠 샘,아이 엠 샘,제시 넬슨,"숀 펜, 미셸 파이퍼",9.33,3108,132
/movie/bi/mi/basic.nhn?code=18934,마틸다,마틸다,대니 드비토,"마라 윌슨, 대니 드비토, 레아 펄만",9.18,1394,98
/movie/bi/mi/basic.nhn?code=32610,공공의 적,공공의 적,강우석,"설경구, 이성재",9.2,2181,138
