순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,장르,등급,영화구분,screens,total_viewer,directors,main_actor_list,ntz_score_list,ntz_count_list,running_time_list
508,돈 크라이 마미,김용한,(주)씨네마골뱅이,,(주)에스비에스콘텐츠허브,2012-11-22,개봉영화,장편,한국,스릴러,15세이상관람가,일반영화,444,975462,김용한,"유선, 남보라, 유오성",6.44,9203,91
510,"고산자, 대동여지도",강우석,(주)시네마서비스,,씨제이이앤엠(주),2016-09-07,개봉영화,장편,한국,사극,전체관람가,일반영화,765,971194,강우석,"차승원, 유준상",7.19,4689,129
511,우리는 형제입니다,장진,필름있수다,,(주)쇼박스,2014-10-23,개봉영화,장편,한국,코미디,12세이상관람가,일반영화,566,970373,장진,"조진웅, 김성균, 김영애",7.18,2833,102
512,프로메테우스,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2012-06-06,개봉영화,장편,미국,SF,청소년관람불가,일반영화,521,970275,리들리 스콧,"누미 라파스, 마이클 패스벤더, 샤를리즈 테론",7.74,7758,123
514,전국노래자랑,이종필,(주)인앤인픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2013-05-01,개봉영화,장편,한국,코미디,12세이상관람가,일반영화,581,963634,이종필,"김인권, 류현경, 김수미",8.0,5021,112
515,스타워즈: 라스트 제다이,라이언 존슨,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-12-14,개봉영화,장편,미국,액션,12세이상관람가,일반영화,1107,959577,라이언 존슨,"데이지 리들리, 마크 해밀, 아담 드라이버",6.43,7127,152
516,나랏말싸미,조철현,(주)영화사두둥,,메가박스중앙(주)플러스엠,2019-07-24,개봉영화,장편,한국,사극,전체관람가,일반영화,1211,958775,조철현,"송강호, 박해일, 전미선",3.37,14147,110
517,잭 더 자이언트 킬러,브라이언 싱어,,워너브러더스 코리아(주),워너브러더스 코리아(주),2013-02-28,개봉영화,장편,미국,판타지,12세이상관람가,일반영화,507,956154,브라이언 싱어,"니콜라스 홀트, 이완 맥그리거, 엘리너 톰린슨",7.71,2612,114
518,허삼관,하정우,"(주)두타연,(주)판타지오픽쳐스",,(주)넥스트엔터테인먼트월드(NEW),2015-01-14,개봉영화,장편,한국,드라마,12세이상관람가,일반영화,621,955175,하정우,"하정우, 하지원",7.52,5649,124
519,스텝업4 : 레볼루션,스콧 스피어,,(주)나이너스엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-08-15,개봉영화,장편,미국,멜로/로맨스,12세이상관람가,일반영화,281,953871,스콧 스피어,"라이언 구즈먼, 캐서린 맥코믹",8.78,2928,98
520,불한당: 나쁜 놈들의 세상,변성현,"씨제이이앤엠(주),(주)바른손",,씨제이이앤엠(주),2017-05-17,개봉영화,장편,한국,범죄,청소년관람불가,일반영화,860,951797,변성현,"설경구, 임시완",6.35,12582,120
521,새미의 어드벤쳐,벤 스타센,엔웨이브필름,데이지엔터테인먼트,씨제이엔터테인먼트,2010-12-15,개봉영화,장편,벨기에,애니메이션,전체관람가,일반영화,311,946615,벤 스타센,"멜라니 그리피스, 이사벨 퍼만, 유리 로웬탈",8.99,3173,85
522,월터의 상상은 현실이 된다,벤 스틸러,,"유니콘텐츠,주식회사 레드아이스,이십세기폭스코리아(주)","글뫼 주식회사,이십세기폭스코리아(주)",2013-12-31,개봉영화,장편,미국,어드벤처,12세이상관람가,일반영화,378,941672,벤 스틸러,"벤 스틸러, 크리스틴 위그, 숀 펜",8.73,6861,114
523,크루즈 패밀리,"커크 드 미코,크리스 샌더스",,씨제이이앤엠(주),씨제이이앤엠(주),2013-05-16,개봉영화,장편,미국,애니메이션,전체관람가,일반영화,525,941615,커크 드 미코,"니콜라스 케이지, 라이언 레이놀즈, 엠마 스톤",9.24,2150,98
524,미 비포 유,테아 샤록,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-06-01,개봉영화,장편,미국,멜로/로맨스,12세이상관람가,일반영화,481,939658,테아 샤록,"에밀리아 클라크, 샘 클라플린",8.48,6547,110
525,평행이론,권호영,"(주)다세포클럽,씨제이엔터테인먼트",,씨제이엔터테인먼트,2010-02-18,개봉영화,장편,한국,스릴러,15세이상관람가,일반영화,272,937029,권호영,지진희,6.91,3169,110
